Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Age dependency ratio (% of working-age population),SP.POP.DPND,Canada,CAN,49.4818756303058,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Caribbean small states,CSS,48.2431403807826,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cayman Islands,CYM,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Central African Republic,CAF,89.1077316362292,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Central Europe and the Baltics,CEB,50.6454183434567,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Chad,TCD,98.4395487485402,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Channel Islands,CHI,48.1170348620028,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Chile,CHL,45.5258883363112,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,China,CHN,40.4452687500938,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Colombia,COL,46.1047242838133,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Comoros,COM,74.0505680594387,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Congo, Dem. Rep.",COD,96.7864098705267,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Congo, Rep.",COG,80.002533041084,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Costa Rica,CRI,44.6646067981448,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cote d'Ivoire,CIV,81.146021189895,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Croatia,HRV,53.7453385581835,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cuba,CUB,45.7671852236209,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Curacao,CUW,55.2047226510539,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Cyprus,CYP,43.8991986273938,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Czech Republic,CZE,53.8638588674884,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Denmark,DNK,56.9149595549447,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Djibouti,DJI,51.7489777057565,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Dominica,DMA,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Dominican Republic,DOM,53.9881764082554,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Early-demographic dividend,EAR,53.5767556333869,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,East Asia & Pacific,EAS,44.2504817197953,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,East Asia & Pacific (excluding high income),EAP,42.9964688988939,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,East Asia & Pacific (IDA & IBRD),TEA,43.0098747640929,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Ecuador,ECU,54.2873772642197,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Egypt, Arab Rep.",EGY,64.0110549611599,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,El Salvador,SLV,54.8447029713715,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Equatorial Guinea,GNQ,65.493062807698,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Eritrea,ERI,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Estonia,EST,56.2094881058675,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Eswatini,SWZ,72.7923631314568,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Ethiopia,ETH,79.4820265011684,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Euro area,EMU,55.5296171198769,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Europe & Central Asia,ECS,52.495860374209,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Europe & Central Asia (excluding high income),ECA,49.5379646691987,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Europe & Central Asia (IDA & IBRD),TEC,49.4730571586212,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,European Union,EUU,54.9149031567697,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Faroe Islands,FRO,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Fiji,FJI,53.7569809797127,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Finland,FIN,60.9423940532937,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Fragile and conflict affected situations,FCS,79.1960923490527,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,France,FRA,61.2671463231552,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,French Polynesia,PYF,45.037685489389,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Gabon,GAB,68.3212000006354,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Gambia, The",GMB,88.1776879113624,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Georgia,GEO,53.0472867428444,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Germany,DEU,54.0428350491469,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Ghana,GHA,68.5344727529092,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Gibraltar,GIB,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Greece,GRC,55.5851549068708,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Greenland,GRL,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Grenada,GRD,49.6629515241037,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Guam,GUM,52.2385592403134,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Guatemala,GTM,64.6022003766005,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Guinea,GIN,87.8858644556414,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Guinea-Bissau,GNB,82.3582408152424,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Guyana,GUY,53.0567977302913,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Haiti,HTI,61.7904271851326,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Heavily indebted poor countries (HIPC),HPC,85.4085395274862,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,High income,HIC,53.0653937653346,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Honduras,HND,57.3106156815722,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Hong Kong SAR, China",HKG,40.402012171315,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Hungary,HUN,50.5337679066162,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,IBRD only,IBD,47.5198232633648,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Iceland,ISL,52.9696287964005,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,IDA & IBRD total,IBT,54.5889647334463,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,IDA blend,IDB,74.0057085363475,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,IDA only,IDX,75.7848058484729,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,IDA total,IDA,75.1812663776993,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,India,IND,49.7751669461253,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Indonesia,IDN,47.9472971244701,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Iran, Islamic Rep.",IRN,44.2192580384341,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Iraq,IRQ,71.5564988468894,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Ireland,IRL,54.4931876353425,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Isle of Man,IMN,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Israel,ISR,66.3955279721819,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Italy,ITA,56.4475054427328,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Jamaica,JAM,48.2508315842912,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Japan,JPN,67.4290802202976,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Jordan,JOR,61.5299674587889,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Kazakhstan,KAZ,55.8904705723402,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Kenya,KEN,72.7752887244185,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Kiribati,KIR,65.2690595754394,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Korea, Dem. People's Rep.",PRK,41.9177146897046,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Korea, Rep.",KOR,37.7256414799676,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Kosovo,XKX,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Kuwait,KWT,31.7338277520188,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Kyrgyz Republic,KGZ,58.3409673344976,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Lao PDR,LAO,57.9256619609197,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Late-demographic dividend,LTE,42.4456554026782,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Latin America & Caribbean,LCN,49.4536851310065,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Latin America & Caribbean (excluding high income),LAC,49.4930147368988,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Latin America & Caribbean (IDA & IBRD),TLA,49.4928730138324,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Latvia,LVA,56.3462281331052,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Least developed countries: UN classification,LDC,77.3622340716284,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Lebanon,LBN,49.4728780904276,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Lesotho,LSO,60.3011770144939,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Liberia,LBR,79.7863446042014,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Libya,LBY,48.6133048148143,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Liechtenstein,LIE,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Lithuania,LTU,52.8758637017292,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Low & middle income,LMY,54.6024533438806,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Low income,LIC,83.6578997395383,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Lower middle income,LMC,56.4790545284011,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Luxembourg,LUX,42.983721263996,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Macao SAR, China",MAC,31.8187699563829,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Madagascar,MDG,77.4776203059341,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Malawi,MWI,87.0827689996355,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Malaysia,MYS,44.2312438474242,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Maldives,MDV,31.3219385988143,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Mali,MLI,100.203071201374,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Malta,MLT,52.9664475390855,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Marshall Islands,MHL,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Mauritania,MRT,76.1316632100207,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Mauritius,MUS,41.3784280248856,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Mexico,MEX,51.0129948030625,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Micronesia, Fed. Sts.",FSM,55.5307015727048,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Middle East & North Africa,MEA,55.1284292159861,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Middle East & North Africa (excluding high income),MNA,58.0781613236224,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Middle East & North Africa (IDA & IBRD),TMN,57.9021291534873,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Middle income,MIC,50.9917308624994,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Moldova,MDA,37.6076817579593,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Monaco,MCO,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Mongolia,MNG,52.6557214433441,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Montenegro,MNE,49.6658433997157,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Morocco,MAR,52.020236094805,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Mozambique,MOZ,90.6998160820228,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Myanmar,MMR,47.3962960188089,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Namibia,NAM,68.1980160472224,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Nauru,NRU,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Nepal,NPL,56.5972960751091,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Netherlands,NLD,54.5699039032024,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,New Caledonia,NCL,46.8754201094094,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,New Zealand,NZL,54.5734840373697,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Nicaragua,NIC,54.9167110334579,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Niger,NER,110.878511220383,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Nigeria,NGA,87.3150867715878,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,North America,NAC,52.3821569015149,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,North Macedonia,MKD,43.2401394057924,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Northern Mariana Islands,MNP,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Norway,NOR,52.9011401549285,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,OECD members,OED,53.9686152635925,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Oman,OMN,32.6951287431657,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Other small states,OSS,57.5970837668934,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Pacific island small states,PSS,66.2105787663495,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Pakistan,PAK,65.5152020756539,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Palau,PLW,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Panama,PAN,54.2424993288382,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Papua New Guinea,PNG,64.6394087431679,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Paraguay,PRY,55.9349975498097,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Peru,PER,51.2378746267957,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Philippines,PHL,56.4592858314578,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Poland,POL,48.302146843564,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Portugal,PRT,54.8269495478638,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Post-demographic dividend,PST,54.2597881051048,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Pre-demographic dividend,PRE,87.3077175544135,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Puerto Rico,PRI,55.0650708266441,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Qatar,QAT,17.5237630898734,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Romania,ROU,51.2247427291675,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Russian Federation,RUS,48.3432769745506,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Rwanda,RWA,75.1735974401916,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Samoa,WSM,75.8114685766021,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,San Marino,SMR,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sao Tome and Principe,STP,83.3033659066232,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Saudi Arabia,SAU,39.5808550272483,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Senegal,SEN,85.6743118852401,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Serbia,SRB,51.5966414652803,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Seychelles,SYC,45.4127406338758,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sierra Leone,SLE,78.6550094089744,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Singapore,SGP,31.1332126035562,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sint Maarten (Dutch part),SXM,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Slovak Republic,SVK,45.0860619375329,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Slovenia,SVN,52.9722102393766,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Small states,SST,56.4220379545555,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Solomon Islands,SLB,78.0641606799003,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Somalia,SOM,97.82351550186,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,South Africa,ZAF,52.4332012131419,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,South Asia,SAS,52.3841330339171,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,South Asia (IDA & IBRD),TSA,52.3841330339171,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,South Sudan,SSD,82.5437294873803,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Spain,ESP,51.6196970503801,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sri Lanka,LKA,53.0695531237879,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,St. Kitts and Nevis,KNA,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,St. Lucia,LCA,39.5389336401995,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,St. Martin (French part),MAF,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,St. Vincent and the Grenadines,VCT,47.3435118586058,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sub-Saharan Africa,SSF,84.3427187450587,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sub-Saharan Africa (excluding high income),SSA,84.3462124460886,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sub-Saharan Africa (IDA & IBRD),TSS,84.3427187450586,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sudan,SDN,78.858728052154,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Suriname,SUR,51.6911456810802,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Sweden,SWE,60.4551945668974,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Switzerland,CHE,50.4532477262533,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Syrian Arab Republic,SYR,56.0662996502183,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Tajikistan,TJK,66.1299944397206,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Tanzania,TZA,87.6156325184207,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Thailand,THA,40.8210347249991,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Timor-Leste,TLS,72.7030531523089,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Togo,TGO,79.2242718887728,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Tonga,TON,70.5594578960417,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Trinidad and Tobago,TTO,45.2528807947712,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Tunisia,TUN,48.1169879440149,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Turkey,TUR,49.549755981647,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Turkmenistan,TKM,54.4377464351533,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Turks and Caicos Islands,TCA,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Tuvalu,TUV,..,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Uganda,UGA,95.5856827336218,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Ukraine,UKR,47.5951598530469,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,United Arab Emirates,ARE,18.6077964237707,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,United Kingdom,GBR,56.4307434535186,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,United States,USA,52.7106770866542,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Upper middle income,UMC,44.7406833444698,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Uruguay,URY,54.8527006636675,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Uzbekistan,UZB,49.4884431934934,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Vanuatu,VUT,73.8779147482549,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Venezuela, RB",VEN,53.689240856936,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Vietnam,VNM,43.7766048259771,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Virgin Islands (U.S.),VIR,63.9393753639624,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,West Bank and Gaza,PSE,72.6539033436178,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,World,WLD,54.3575611024194,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,"Yemen, Rep.",YEM,73.886313625798,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Zambia,ZMB,88.8068442098964,..,..
Age dependency ratio (% of working-age population),SP.POP.DPND,Zimbabwe,ZWE,82.9511160396955,..,..
,,,,,,
,,,,,,
,,,,,,
Data from database: Gender Statistics,,,,,,
Last Updated: 05/04/2020,,,,,,
